date,ma_max_temp,ma_rain,avg_price
2015/08/14,24.49736842,4.890789474,2020
2015/08/15,24.57960526,4.900657895,2020
2015/08/16,24.65526316,4.910526316,2020
2015/08/17,24.78092105,4.694078947,2020
2015/08/18,24.86907895,4.695394737,1980
2015/08/19,24.94868421,4.703947368,1890
2015/08/20,25.02828947,4.713815789,1890
2015/08/21,25.12631579,4.723684211,1930
2015/08/22,25.25855263,4.733552632,1930
2015/08/23,25.3875,4.743421053,1930
2015/08/24,25.50197368,4.753289474,1950
2015/08/25,25.59868421,4.763157895,1990
2015/08/26,25.6875,4.770394737,2190
2015/08/27,25.77039474,4.780263158,2010
2015/08/28,25.85197368,4.789473684,1990
2015/08/29,25.92105263,4.799342105,1990
2015/08/30,26.00921053,4.8,1990
2015/08/31,26.09407895,4.8125,1990
2015/09/01,26.14868421,4.8125,1990
2015/09/02,26.20592105,4.811842105,1930
2015/09/03,26.28552632,4.695394737,1930
2015/09/04,26.39671053,4.699342105,1890
2015/09/05,26.47894737,4.727631579,1890
2015/09/06,26.57039474,4.778947368,1890
2015/09/07,26.66184211,4.777631579,1930
2015/09/08,26.73289474,4.777631579,1930
2015/09/09,26.79078947,4.799342105,1930
2015/09/10,26.84210526,4.817763158,1930
2015/09/11,26.89934211,4.807236842,1850
2015/09/12,26.95855263,4.792763158,1850
2015/09/13,27.04013158,4.730263158,1850
2015/09/14,27.09078947,4.722368421,1950
2015/09/15,27.125,4.704605263,1850
2015/09/16,27.15855263,4.772368421,1810
2015/09/17,27.175,4.805921053,1870
2015/09/18,27.23289474,4.699342105,1870
2015/09/19,27.31118421,4.631578947,1870
2015/09/20,27.34868421,4.628947368,1870
2015/09/21,27.39276316,4.635526316,1870
2015/09/22,27.43092105,4.635526316,1870
2015/09/23,27.42828947,4.761184211,1870
2015/09/24,27.43618421,4.779605263,1930
2015/09/25,27.43223684,4.781578947,1940
2015/09/26,27.43355263,4.781578947,1940
2015/09/27,27.45921053,4.690131579,1940
2015/09/28,27.52565789,4.529605263,1940
2015/09/29,27.54539474,4.520394737,1940
2015/09/30,27.52302632,4.601973684,1890
2015/10/01,27.50263158,4.821710526,2100
2015/10/02,27.51381579,4.738157895,2000
2015/10/03,27.53289474,4.734210526,2000
2015/10/04,27.54539474,4.734210526,2000
2015/10/05,27.5625,4.731578947,2040
2015/10/06,27.57171053,4.728289474,1990
2015/10/07,27.58223684,4.728289474,1990
2015/10/08,27.58486842,4.728289474,1760
2015/10/09,27.57171053,4.733552632,1760
2015/10/10,27.56578947,4.560526316,1760
2015/10/11,27.54868421,4.514473684,1760
2015/10/12,27.50263158,4.521052632,1870
2015/10/13,27.47105263,4.520394737,1830
2015/10/14,27.46644737,4.503947368,1830
2015/10/15,27.45921053,4.501973684,1750
2015/10/16,27.44276316,4.501973684,1640
2015/10/17,27.47434211,4.433552632,1640
2015/10/18,27.48092105,4.432894737,1640
2015/10/19,27.48881579,4.442105263,1620
2015/10/20,27.47565789,4.442105263,1710
2015/10/21,27.45328947,4.453947368,1710
2015/10/22,27.41842105,4.475657895,1650
2015/10/23,27.37894737,4.475657895,1540
2015/10/24,27.34013158,4.490131579,1540
2015/10/25,27.27631579,4.490131579,1540
2015/10/26,27.21118421,4.505263158,1580
2015/10/27,27.1375,4.593421053,1580
2015/10/28,27.05723684,4.593421053,1630
2015/10/29,27.01644737,4.575,1670
2015/10/30,26.92171053,4.575657895,1670
2015/10/31,26.82171053,4.575657895,1670
2015/11/01,26.72171053,4.546710526,1670
2015/11/02,26.64802632,4.547368421,1670
2015/11/03,26.58223684,4.547368421,1670
2015/11/04,26.57828947,4.522368421,1690
2015/11/05,26.54407895,4.523026316,1690
2015/11/06,26.49078947,4.544078947,1690
2015/11/07,26.42894737,4.720394737,1690
2015/11/08,26.34934211,4.808552632,1690
2015/11/09,26.24934211,4.832236842,1690
2015/11/10,26.18157895,4.826973684,1690
2015/11/11,26.10197368,4.872368421,1690
2015/11/12,26.03684211,4.861842105,1690
2015/11/13,25.95197368,4.975657895,1690
2015/11/14,25.87631579,5.005263158,1690
2015/11/15,25.81184211,4.993421053,1690
2015/11/16,25.75197368,5.022368421,1810
2015/11/17,25.68355263,5.017763158,1810
2015/11/18,25.59671053,5.053947368,1690
2015/11/19,25.53157895,4.979605263,1690
2015/11/20,25.46381579,4.978289474,1980
2015/11/21,25.37434211,4.951315789,1980
2015/11/22,25.28947368,4.998684211,1980
2015/11/23,25.19868421,4.942763158,1880
2015/11/24,25.10526316,4.868421053,1980
2015/11/25,24.99934211,4.725,2060
2015/11/26,24.86315789,4.735526316,2060
2015/11/27,24.71381579,4.742105263,2210
2015/11/28,24.57302632,4.734868421,2210
2015/11/29,24.47434211,4.642763158,2210
2015/11/30,24.37039474,4.638815789,2250
2015/12/01,24.26842105,4.634210526,2150
2015/12/02,24.16381579,4.660526316,2110
2015/12/03,24.03421053,4.680263158,2250
2015/12/04,23.89539474,4.664473684,2250
2015/12/05,23.77565789,4.653947368,2250
2015/12/06,23.68026316,4.529605263,2250
2015/12/07,23.59144737,4.368421053,2100
2015/12/08,23.49078947,4.248026316,2100
2015/12/09,23.38092105,4.246052632,2100
2015/12/10,23.25,4.281578947,1930
2015/12/11,23.15065789,4.015131579,1930
2015/12/12,23.04802632,3.988157895,1930
2015/12/13,22.93092105,3.982894737,1930
2015/12/14,22.78881579,3.948026316,1930
2015/12/15,22.67894737,3.945394737,1930
2015/12/16,22.54736842,3.959868421,1930
2015/12/17,22.37894737,3.975,2080
2015/12/18,22.22236842,3.965131579,1980
2015/12/19,22.09802632,3.943421053,1980
2015/12/20,21.95328947,3.933552632,1980
2015/12/21,21.81907895,3.918421053,1990
2015/12/22,21.69407895,3.822368421,1990
2015/12/23,21.57565789,3.711842105,1990
2015/12/24,21.44078947,3.571710526,1980
2015/12/25,21.26842105,3.478289474,1980
2015/12/26,21.13289474,3.463815789,1980
2015/12/27,20.95197368,3.460526316,1980
2015/12/28,20.7625,3.398026316,1980
2015/12/29,20.57631579,3.398026316,2030
2015/12/30,20.40723684,3.392763158,2030
2015/12/31,20.23618421,3.332894737,2030
2016/01/01,20.08026316,3.277631579,2030
2016/01/02,19.94078947,3.273684211,2030
2016/01/03,19.81052632,3.242763158,2030
2016/01/04,19.65921053,3.229605263,2050
2016/01/05,19.46578947,3.240131579,2030
2016/01/06,19.27565789,3.178289474,2030
2016/01/07,19.08421053,3.102631579,2030
2016/01/08,18.89802632,3.104605263,2030
2016/01/09,18.72763158,3.104605263,2030
2016/01/10,18.58157895,3.002631579,2030
2016/01/11,18.42960526,2.992763158,1970
2016/01/12,18.25460526,2.934868421,1970
2016/01/13,18.06973684,2.909210526,1970
2016/01/14,17.88552632,2.901973684,1970
2016/01/15,17.71973684,2.894736842,1930
2016/01/16,17.56118421,2.888815789,1930
2016/01/17,17.39276316,2.9125,1930
2016/01/18,17.20723684,2.909868421,1970
2016/01/19,16.97302632,2.913815789,2100
2016/01/20,16.75328947,2.905921053,2270
2016/01/21,16.54736842,2.914473684,2210
2016/01/22,16.34605263,2.949342105,2230
2016/01/23,16.11776316,2.963815789,2230
2016/01/24,15.86447368,2.980921053,2230
2016/01/25,15.65131579,2.978947368,2670
2016/01/26,15.46710526,2.969736842,3020
2016/01/27,15.30131579,2.959868421,2970
2016/01/28,15.11973684,3.028289474,3120
2016/01/29,14.95986842,3.069078947,3360
2016/01/30,14.81315789,3.053947368,3360
2016/01/31,14.65197368,3.086184211,3360
2016/02/01,14.48355263,3.053947368,3400
2016/02/02,14.31776316,3.047368421,3400
2016/02/03,14.16052632,3.043421053,3500
2016/02/04,14.03223684,2.969078947,3500
2016/02/05,13.90789474,2.905921053,3500
2016/02/06,13.75789474,2.915789474,3500
2016/02/07,13.62039474,2.916447368,3500
2016/02/08,13.49407895,2.901315789,3500
2016/02/09,13.36578947,2.884868421,3500
2016/02/10,13.26184211,2.875657895,3500
2016/02/11,13.20921053,2.85,3340
2016/02/12,13.12697368,3.009868421,3140
2016/02/13,13.06118421,3.094736842,3140
2016/02/14,12.95789474,3.101315789,3140
2016/02/15,12.80197368,3.0375,3180
2016/02/16,12.67039474,2.971052632,3080
2016/02/17,12.54078947,2.969736842,3080
2016/02/18,12.42894737,2.972368421,3180
2016/02/19,12.31578947,2.980263158,3300
